sequenceId,entityId,ParameterKey,ParameterValue
1_11A;2_11A;3_11A;4_11A;5_11A,5,name,XintianY
1_11A;2_11A;3_11A;4_11A;5_11A,5,webpawed,
1_11A;2_11A;3_11A;4_11A;5_11A,5,webpafri,0.0101
1_11A;2_11A;3_11A;4_11A;5_11A,5,Sex,Female
1_11A;2_11A;3_11A;4_11A;5_11A,5,Nationality,China
1_11A;2_11A;3_11A;4_11A;5_11A,5,leader.1,leader
1_11A;2_11A;3_11A;4_11A;5_11A,5,leader.2,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,5,leader.3,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,5,leader.4,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,5,leader.5,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,4,name,RyanG
1_11A;2_11A;3_11A;4_11A;5_11A,4,webpawed,
1_11A;2_11A;3_11A;4_11A;5_11A,4,webpafri,0.0103
1_11A;2_11A;3_11A;4_11A;5_11A,4,Sex,Male
1_11A;2_11A;3_11A;4_11A;5_11A,4,Nationality,United Kingdom
1_11A;2_11A;3_11A;4_11A;5_11A,4,leader.1,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,4,leader.2,leader
1_11A;2_11A;3_11A;4_11A;5_11A,4,leader.3,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,4,leader.4,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,4,leader.5,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,3,name,PollyN
1_11A;2_11A;3_11A;4_11A;5_11A,3,webpawed,
1_11A;2_11A;3_11A;4_11A;5_11A,3,webpafri,0.0101
1_11A;2_11A;3_11A;4_11A;5_11A,3,Sex,Female
1_11A;2_11A;3_11A;4_11A;5_11A,3,Nationality,United Kingdom
1_11A;2_11A;3_11A;4_11A;5_11A,3,leader.1,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,3,leader.2,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,3,leader.3,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,3,leader.4,leader
1_11A;2_11A;3_11A;4_11A;5_11A,3,leader.5,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,2,name,LukeR
1_11A;2_11A;3_11A;4_11A;5_11A,2,webpawed,
1_11A;2_11A;3_11A;4_11A;5_11A,2,webpafri,0.0103
1_11A;2_11A;3_11A;4_11A;5_11A,2,Sex,Male
1_11A;2_11A;3_11A;4_11A;5_11A,2,Nationality,United Kingdom
1_11A;2_11A;3_11A;4_11A;5_11A,2,leader.1,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,2,leader.2,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,2,leader.3,leader
1_11A;2_11A;3_11A;4_11A;5_11A,2,leader.4,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,2,leader.5,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,1,name,HopeW
1_11A;2_11A;3_11A;4_11A;5_11A,1,webpawed,
1_11A;2_11A;3_11A;4_11A;5_11A,1,webpafri,0.0101
1_11A;2_11A;3_11A;4_11A;5_11A,1,Sex,Female
1_11A;2_11A;3_11A;4_11A;5_11A,1,Nationality,United Kingdom
1_11A;2_11A;3_11A;4_11A;5_11A,1,leader.1,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,1,leader.2,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,1,leader.3,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,1,leader.4,not leader
1_11A;2_11A;3_11A;4_11A;5_11A,1,leader.5,leader
1_11A;2_11A;3_11A;4_11A,0,name,ChaoceY
1_11A;2_11A;3_11A;4_11A,0,webpawed,
1_11A;2_11A;3_11A;4_11A,0,webpafri,0.0091
1_11A;2_11A;3_11A;4_11A,0,Sex,Male
1_11A;2_11A;3_11A;4_11A,0,Nationality,China
1_11A;2_11A;3_11A;4_11A,0,leader.1,not leader
1_11A;2_11A;3_11A;4_11A,0,leader.2,leader
1_11A;2_11A;3_11A;4_11A,0,leader.3,not leader
1_11A;2_11A;3_11A;4_11A,0,leader.4,not leader
1_11A;2_11A;3_11A;4_11A,0,leader.5,not leader
