sequenceId,entityId,ParameterKey,ParameterValue
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,3,name,SahilD
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,3,webpa,1.02
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,3,Sex,M
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,3,Nationality,United Kingdom
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,1,name,AdamP
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,1,webpa,0.98
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,1,Sex,M
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,1,Nationality,United Kingdom
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,4,name,SeanH
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,4,webpa,0.98999
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,4,Sex,M
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,4,Nationality,United Kingdom
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,2,name,MuhammadA
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,2,webpa,1.01
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,2,Sex,M
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,2,Nationality,Malaysia
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,5,name,ThomasW
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,5,webpa,0.98999
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,5,Sex,M
1_13A;2_13A;3_13A;4_13A;5_13A;6_13A,5,Nationality,United Kingdom
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,9,name,EllisC
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,9,webpa,1.11999
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,9,Sex,M
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,9,Nationality,United Kingdom
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,8,name,DanielC
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,8,webpa,1.34
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,8,Sex,M
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,8,Nationality,United Kingdom
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,11,name,JosephC
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,11,webpa,1.32
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,11,Sex,M
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,11,Nationality,United Kingdom
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,7,name,AlastairR
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,7,webpa,0.86999
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,7,Sex,M
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,7,Nationality,United Kingdom
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,10,name,GiorgosK
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,10,webpa,0.67
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,10,Sex,M
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,10,Nationality,Cyprus (European Union)
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,6,name,AleenaM
1_13B;2_13B;3_13B;4_13B;5_13B;6_13B,6,webpa,0.67999
